,Survived,Pclass,_Title_,_Sex_,SibSp,Parch,Fare,Age,_HasCabin_,_Embarked_
0,0,3,0,1,1,0,7.25,22.0,0,0
1,1,1,1,0,1,0,71.2833,38.0,1,1
2,1,3,2,0,0,0,7.925,26.0,0,0
3,1,1,1,0,1,0,53.1,35.0,1,0
4,0,3,0,1,0,0,8.05,35.0,0,0
5,0,3,0,1,0,0,8.4583,29.0,0,2
6,0,1,0,1,0,0,51.8625,54.0,1,0
7,0,3,4,1,3,1,21.075,2.0,0,0
8,1,3,1,0,0,2,11.1333,27.0,0,0
9,1,2,1,0,1,0,30.0708,14.0,0,1
10,1,3,2,0,1,1,16.7,4.0,1,0
11,1,1,2,0,0,0,26.55,58.0,1,0
12,0,3,0,1,0,0,8.05,20.0,0,0
13,0,3,0,1,1,5,31.275,39.0,0,0
14,0,3,2,0,0,0,7.8542,14.0,0,0
15,1,2,1,0,0,0,16.0,55.0,0,0
16,0,3,4,1,4,1,29.125,2.0,0,2
17,1,2,0,1,0,0,13.0,33.0,0,0
18,0,3,1,0,1,0,18.0,31.0,0,0
19,1,3,1,0,0,0,7.225,36.0,0,1
20,0,2,0,1,0,0,26.0,35.0,0,0
21,1,2,0,1,0,0,13.0,34.0,1,0
22,1,3,2,0,0,0,8.0292,15.0,0,2
23,1,1,0,1,0,0,35.5,28.0,1,0
24,0,3,2,0,3,1,21.075,8.0,0,0
25,1,3,1,0,1,5,31.3875,38.0,0,0
26,0,3,0,1,0,0,7.225,21.0,0,1
27,0,1,0,1,3,2,263.0,19.0,1,0
28,1,3,2,0,0,0,7.8792,9.0,0,2
29,0,3,0,1,0,0,7.8958,59.0,0,0
30,0,1,3,1,0,0,27.7208,40.0,0,1
31,1,1,1,0,1,0,146.5208,37.0,1,1
32,1,3,2,0,0,0,7.75,12.0,0,2
33,0,2,0,1,0,0,10.5,66.0,0,0
34,0,1,0,1,1,0,82.1708,28.0,0,1
35,0,1,0,1,1,0,52.0,42.0,0,0
36,1,3,0,1,0,0,7.2292,28.0,0,1
37,0,3,0,1,0,0,8.05,21.0,0,0
38,0,3,2,0,2,0,18.0,18.0,0,0
39,1,3,2,0,1,0,11.2417,14.0,0,1
40,0,3,1,0,1,0,9.475,40.0,0,0
41,0,2,1,0,1,0,21.0,27.0,0,0
42,0,3,0,1,0,0,7.8958,57.0,0,1
43,1,2,2,0,1,2,41.5792,3.0,0,1
44,1,3,2,0,0,0,7.8792,19.0,0,2
45,0,3,0,1,0,0,8.05,53.0,0,0
46,0,3,0,1,1,0,15.5,21.0,0,2
47,1,3,2,0,0,0,7.75,14.0,0,2
48,0,3,0,1,2,0,21.6792,32.0,0,1
49,0,3,1,0,1,0,17.8,18.0,0,0
50,0,3,4,1,4,1,39.6875,7.0,0,0
51,0,3,0,1,0,0,7.8,21.0,0,0
52,1,1,1,0,1,0,76.7292,49.0,1,1
53,1,2,1,0,1,0,26.0,29.0,0,0
54,0,1,0,1,0,1,61.9792,65.0,1,1
55,1,1,0,1,0,0,35.5,46.0,1,0
56,1,2,2,0,0,0,10.5,21.0,0,0
57,0,3,0,1,0,0,7.2292,28.5,0,1
58,1,2,2,0,1,2,27.75,5.0,0,0
59,0,3,4,1,5,2,46.9,11.0,0,0
60,0,3,0,1,0,0,7.2292,22.0,0,1
61,1,1,2,0,0,0,80.0,38.0,1,0
62,0,1,0,1,1,0,83.475,45.0,1,0
63,0,3,4,1,3,2,27.9,4.0,0,0
64,0,1,0,1,0,0,27.7208,57.0,0,1
65,1,3,4,1,1,1,15.2458,7.0,0,1
66,1,2,1,0,0,0,10.5,29.0,1,0
67,0,3,0,1,0,0,8.1583,19.0,0,0
68,1,3,2,0,4,2,7.925,17.0,0,0
69,0,3,0,1,2,0,8.6625,26.0,0,0
70,0,2,0,1,0,0,10.5,32.0,0,0
71,0,3,2,0,5,2,46.9,16.0,0,0
72,0,2,0,1,0,0,73.5,21.0,0,0
73,0,3,0,1,1,0,14.4542,26.0,0,1
74,1,3,0,1,0,0,56.4958,32.0,0,0
75,0,3,0,1,0,0,7.65,25.0,1,0
76,0,3,0,1,0,0,7.8958,31.0,0,0
77,0,3,0,1,0,0,8.05,24.0,0,0
78,1,2,4,1,0,2,29.0,0.83,0,0
79,1,3,2,0,0,0,12.475,30.0,0,0
80,0,3,0,1,0,0,9.0,22.0,0,0
81,1,3,0,1,0,0,9.5,29.0,0,0
82,1,3,2,0,0,0,7.7875,28.0,0,2
83,0,1,0,1,0,0,47.1,28.0,0,0
84,1,2,2,0,0,0,10.5,17.0,0,0
85,1,3,1,0,3,0,15.85,33.0,0,0
86,0,3,0,1,1,3,34.375,16.0,0,0
87,0,3,0,1,0,0,8.05,23.0,0,0
88,1,1,2,0,3,2,263.0,23.0,1,0
89,0,3,0,1,0,0,8.05,24.0,0,0
90,0,3,0,1,0,0,8.05,29.0,0,0
91,0,3,0,1,0,0,7.8542,20.0,0,0
92,0,1,0,1,1,0,61.175,46.0,1,0
93,0,3,0,1,1,2,20.575,26.0,0,0
94,0,3,0,1,0,0,7.25,59.0,0,0
95,0,3,0,1,0,0,8.05,21.0,0,0
96,0,1,0,1,0,0,34.6542,71.0,1,1
97,1,1,0,1,0,1,63.3583,23.0,1,1
98,1,2,1,0,0,1,23.0,34.0,0,0
99,0,2,0,1,1,0,26.0,34.0,0,0
100,0,3,2,0,0,0,7.8958,28.0,0,0
101,0,3,0,1,0,0,7.8958,52.0,0,0
102,0,1,0,1,0,1,77.2875,21.0,1,0
103,0,3,0,1,0,0,8.6542,33.0,0,0
104,0,3,0,1,2,0,7.925,37.0,0,0
105,0,3,0,1,0,0,7.8958,28.0,0,0
106,1,3,2,0,0,0,7.65,21.0,0,0
107,1,3,0,1,0,0,7.775,30.0,0,0
108,0,3,0,1,0,0,7.8958,38.0,0,0
109,1,3,2,0,1,0,24.15,26.0,0,2
110,0,1,0,1,0,0,52.0,47.0,1,0
111,0,3,2,0,1,0,14.4542,14.5,0,1
112,0,3,0,1,0,0,8.05,22.0,0,0
113,0,3,2,0,1,0,9.825,20.0,0,0
114,0,3,2,0,0,0,14.4583,17.0,0,1
115,0,3,0,1,0,0,7.925,21.0,0,0
116,0,3,0,1,0,0,7.75,70.5,0,2
117,0,2,0,1,1,0,21.0,29.0,0,0
118,0,1,0,1,0,1,247.5208,24.0,1,1
119,0,3,2,0,4,2,31.275,2.0,0,0
120,0,2,0,1,2,0,73.5,21.0,0,0
121,0,3,0,1,0,0,8.05,60.0,0,0
122,0,2,0,1,1,0,30.0708,32.5,0,1
123,1,2,2,0,0,0,13.0,32.5,1,0
124,0,1,0,1,0,1,77.2875,54.0,1,0
125,1,3,4,1,1,0,11.2417,12.0,0,1
126,0,3,0,1,0,0,7.75,52.0,0,2
127,1,3,0,1,0,0,7.1417,24.0,0,0
128,1,3,2,0,1,1,22.3583,33.0,1,1
129,0,3,0,1,0,0,6.975,45.0,0,0
130,0,3,0,1,0,0,7.8958,33.0,0,1
131,0,3,0,1,0,0,7.05,20.0,0,0
132,0,3,1,0,1,0,14.5,47.0,0,0
133,1,2,1,0,1,0,26.0,29.0,0,0
134,0,2,0,1,0,0,13.0,25.0,0,0
135,0,2,0,1,0,0,15.0458,23.0,0,1
136,1,1,2,0,0,2,26.2833,19.0,1,0
137,0,1,0,1,1,0,53.1,37.0,1,0
138,0,3,0,1,0,0,9.2167,16.0,0,0
139,0,1,0,1,0,0,79.2,24.0,1,1
140,0,3,1,0,0,2,15.2458,25.0,0,1
141,1,3,2,0,0,0,7.75,22.0,0,0
142,1,3,1,0,1,0,15.85,24.0,0,0
143,0,3,0,1,0,0,6.75,19.0,0,2
144,0,2,0,1,0,0,11.5,18.0,0,0
145,0,2,0,1,1,1,36.75,19.0,0,0
146,1,3,0,1,0,0,7.7958,27.0,0,0
147,0,3,2,0,2,2,34.375,9.0,0,0
148,0,2,0,1,0,2,26.0,36.5,1,0
149,0,2,3,1,0,0,13.0,42.0,0,0
150,0,2,3,1,0,0,12.525,51.0,0,0
151,1,1,1,0,1,0,66.6,22.0,1,0
152,0,3,0,1,0,0,8.05,55.5,0,0
153,0,3,0,1,0,2,14.5,40.5,0,0
154,0,3,0,1,0,0,7.3125,44.0,0,0
155,0,1,0,1,0,1,61.3792,51.0,0,1
156,1,3,2,0,0,0,7.7333,16.0,0,2
157,0,3,0,1,0,0,8.05,30.0,0,0
158,0,3,0,1,0,0,8.6625,50.0,0,0
159,0,3,4,1,8,2,69.55,2.0,0,0
160,0,3,0,1,0,1,16.1,44.0,0,0
161,1,2,1,0,0,0,15.75,40.0,0,0
162,0,3,0,1,0,0,7.775,26.0,0,0
163,0,3,0,1,0,0,8.6625,17.0,0,0
164,0,3,4,1,4,1,39.6875,1.0,0,0
165,1,3,4,1,0,2,20.525,9.0,0,0
166,1,1,1,0,0,1,55.0,45.0,1,0
167,0,3,1,0,1,4,27.9,45.0,0,0
168,0,1,0,1,0,0,25.925,33.0,0,0
169,0,3,0,1,0,0,56.4958,28.0,0,0
170,0,1,0,1,0,0,33.5,61.0,1,0
171,0,3,4,1,4,1,29.125,4.0,0,2
172,1,3,2,0,1,1,11.1333,1.0,0,0
173,0,3,0,1,0,0,7.925,21.0,0,0
174,0,1,0,1,0,0,30.6958,56.0,1,1
175,0,3,0,1,1,1,7.8542,18.0,0,0
176,0,3,4,1,3,1,25.4667,7.0,0,0
177,0,1,2,0,0,0,28.7125,50.0,1,1
178,0,2,0,1,0,0,13.0,30.0,0,0
179,0,3,0,1,0,0,0.0,36.0,0,0
180,0,3,2,0,8,2,69.55,35.0,0,0
181,0,2,0,1,0,0,15.05,52.0,0,1
182,0,3,4,1,4,2,31.3875,9.0,0,0
183,1,2,4,1,2,1,39.0,1.0,1,0
184,1,3,2,0,0,2,22.025,4.0,0,0
185,0,1,0,1,0,0,50.0,34.0,1,0
186,1,3,1,0,1,0,15.5,60.0,0,2
187,1,1,0,1,0,0,26.55,45.0,0,0
188,0,3,0,1,1,1,15.5,40.0,0,2
189,0,3,0,1,0,0,7.8958,36.0,0,0
190,1,2,1,0,0,0,13.0,32.0,0,0
191,0,2,0,1,0,0,13.0,19.0,0,0
192,1,3,2,0,1,0,7.8542,19.0,0,0
193,1,2,4,1,1,1,26.0,3.0,1,0
194,1,1,1,0,0,0,27.7208,44.0,1,1
195,1,1,2,0,0,0,146.5208,58.0,1,1
196,0,3,0,1,0,0,7.75,21.0,0,2
197,0,3,0,1,0,1,8.4042,42.0,0,0
198,1,3,2,0,0,0,7.75,32.0,0,2
199,0,2,2,0,0,0,13.0,24.0,0,0
200,0,3,0,1,0,0,9.5,28.0,0,0
201,0,3,0,1,8,2,69.55,22.0,0,0
202,0,3,0,1,0,0,6.4958,34.0,0,0
203,0,3,0,1,0,0,7.225,45.5,0,1
204,1,3,0,1,0,0,8.05,18.0,0,0
205,0,3,2,0,0,1,10.4625,2.0,1,0
206,0,3,0,1,1,0,15.85,32.0,0,0
207,1,3,0,1,0,0,18.7875,26.0,0,1
208,1,3,2,0,0,0,7.75,16.0,0,2
209,1,1,0,1,0,0,31.0,40.0,1,1
210,0,3,0,1,0,0,7.05,24.0,0,0
211,1,2,2,0,0,0,21.0,35.0,0,0
212,0,3,0,1,0,0,7.25,22.0,0,0
213,0,2,0,1,0,0,13.0,30.0,0,0
214,0,3,0,1,1,0,7.75,32.0,0,2
215,1,1,2,0,1,0,113.275,31.0,1,1
216,1,3,2,0,0,0,7.925,27.0,0,0
217,0,2,0,1,1,0,27.0,42.0,0,0
218,1,1,2,0,0,0,76.2917,32.0,1,1
219,0,2,0,1,0,0,10.5,30.0,0,0
220,1,3,0,1,0,0,8.05,16.0,0,0
221,0,2,0,1,0,0,13.0,27.0,0,0
222,0,3,0,1,0,0,8.05,51.0,0,0
223,0,3,0,1,0,0,7.8958,33.0,0,0
224,1,1,0,1,1,0,90.0,38.0,1,0
225,0,3,0,1,0,0,9.35,22.0,0,0
226,1,2,0,1,0,0,10.5,19.0,0,0
227,0,3,0,1,0,0,7.25,20.5,0,0
228,0,2,0,1,0,0,13.0,18.0,0,0
229,0,3,2,0,3,1,25.4667,18.0,0,0
230,1,1,1,0,1,0,83.475,35.0,1,0
231,0,3,0,1,0,0,7.775,29.0,0,0
232,0,2,0,1,0,0,13.5,59.0,0,0
233,1,3,2,0,4,2,31.3875,5.0,0,0
234,0,2,0,1,0,0,10.5,24.0,0,0
235,0,3,2,0,0,0,7.55,36.0,0,0
236,0,2,0,1,1,0,26.0,44.0,0,0
237,1,2,2,0,0,2,26.25,8.0,0,0
238,0,2,0,1,0,0,10.5,19.0,0,0
239,0,2,0,1,0,0,12.275,33.0,0,0
240,0,3,2,0,1,0,14.4542,22.0,0,1
241,1,3,2,0,1,0,15.5,12.0,0,2
242,0,2,0,1,0,0,10.5,29.0,0,0
243,0,3,0,1,0,0,7.125,22.0,0,0
244,0,3,0,1,0,0,7.225,30.0,0,1
245,0,1,3,1,2,0,90.0,44.0,1,2
246,0,3,2,0,0,0,7.775,25.0,0,0
247,1,2,1,0,0,2,14.5,24.0,0,0
248,1,1,0,1,1,1,52.5542,37.0,1,0
249,0,2,3,1,1,0,26.0,54.0,0,0
250,0,3,0,1,0,0,7.25,54.0,0,0
251,0,3,1,0,1,1,10.4625,29.0,1,0
252,0,1,0,1,0,0,26.55,62.0,1,0
253,0,3,0,1,1,0,16.1,30.0,0,0
254,0,3,1,0,0,2,20.2125,41.0,0,0
255,1,3,1,0,0,2,15.2458,29.0,0,1
256,1,1,1,0,0,0,79.2,68.0,0,1
257,1,1,2,0,0,0,86.5,30.0,1,0
258,1,1,2,0,0,0,512.3292,35.0,0,1
259,1,2,1,0,0,1,26.0,50.0,0,0
260,0,3,0,1,0,0,7.75,46.0,0,2
261,1,3,4,1,4,2,31.3875,3.0,0,0
262,0,1,0,1,1,1,79.65,52.0,1,0
263,0,1,0,1,0,0,0.0,40.0,1,0
264,0,3,2,0,0,0,7.75,21.0,0,2
265,0,2,0,1,0,0,10.5,36.0,0,0
266,0,3,0,1,4,1,39.6875,16.0,0,0
267,1,3,0,1,1,0,7.775,25.0,0,0
268,1,1,1,0,0,1,153.4625,58.0,1,0
269,1,1,2,0,0,0,135.6333,35.0,1,0
270,0,1,0,1,0,0,31.0,33.0,0,0
271,1,3,0,1,0,0,0.0,25.0,0,0
272,1,2,1,0,0,1,19.5,41.0,0,0
273,0,1,0,1,0,1,29.7,37.0,1,1
274,1,3,2,0,0,0,7.75,16.0,0,2
275,1,1,2,0,1,0,77.9583,63.0,1,0
276,0,3,2,0,0,0,7.75,45.0,0,0
277,0,2,0,1,0,0,0.0,59.0,0,0
278,0,3,4,1,4,1,29.125,7.0,0,2
279,1,3,1,0,1,1,20.25,35.0,0,0
280,0,3,0,1,0,0,7.75,65.0,0,2
281,0,3,0,1,0,0,7.8542,28.0,0,0
282,0,3,0,1,0,0,9.5,16.0,0,0
283,1,3,0,1,0,0,8.05,19.0,0,0
284,0,1,0,1,0,0,26.0,30.0,1,0
285,0,3,0,1,0,0,8.6625,33.0,0,1
286,1,3,0,1,0,0,9.5,30.0,0,0
287,0,3,0,1,0,0,7.8958,22.0,0,0
288,1,2,0,1,0,0,13.0,42.0,0,0
289,1,3,2,0,0,0,7.75,22.0,0,2
290,1,1,2,0,0,0,78.85,26.0,0,0
291,1,1,1,0,1,0,91.0792,19.0,1,1
292,0,2,0,1,0,0,12.875,36.0,1,1
293,0,3,2,0,0,0,8.85,24.0,0,0
294,0,3,0,1,0,0,7.8958,24.0,0,0
295,0,1,0,1,0,0,27.7208,37.0,0,1
296,0,3,0,1,0,0,7.2292,23.5,0,1
297,0,1,2,0,1,2,151.55,2.0,1,0
298,1,1,0,1,0,0,30.5,45.0,1,0
299,1,1,1,0,0,1,247.5208,50.0,1,1
300,1,3,2,0,0,0,7.75,41.0,0,2
301,1,3,0,1,2,0,23.25,44.0,0,2
302,0,3,0,1,0,0,0.0,19.0,0,0
303,1,2,2,0,0,0,12.35,15.0,1,2
304,0,3,0,1,0,0,8.05,44.0,0,0
305,1,1,4,1,1,2,151.55,0.92,1,0
306,1,1,2,0,0,0,110.8833,16.0,0,1
307,1,1,1,0,1,0,108.9,17.0,1,1
308,0,2,0,1,1,0,24.0,30.0,0,1
309,1,1,2,0,0,0,56.9292,30.0,1,1
310,1,1,2,0,0,0,83.1583,24.0,1,1
311,1,1,2,0,2,2,262.375,18.0,1,1
312,0,2,1,0,1,1,26.0,26.0,0,0
313,0,3,0,1,0,0,7.8958,28.0,0,0
314,0,2,0,1,1,1,26.25,43.0,0,0
315,1,3,2,0,0,0,7.8542,26.0,0,0
316,1,2,1,0,1,0,26.0,24.0,0,0
317,0,2,3,1,0,0,14.0,54.0,0,0
318,1,1,2,0,0,2,164.8667,31.0,1,0
319,1,1,1,0,1,1,134.5,40.0,1,1
320,0,3,0,1,0,0,7.25,22.0,0,0
321,0,3,0,1,0,0,7.8958,27.0,0,0
322,1,2,2,0,0,0,12.35,30.0,0,2
323,1,2,1,0,1,1,29.0,22.0,0,0
324,0,3,0,1,8,2,69.55,55.0,0,0
325,1,1,2,0,0,0,135.6333,36.0,1,1
326,0,3,0,1,0,0,6.2375,61.0,0,0
327,1,2,1,0,0,0,13.0,36.0,1,0
328,1,3,1,0,1,1,20.525,31.0,0,0
329,1,1,2,0,0,1,57.9792,16.0,1,1
330,1,3,2,0,2,0,23.25,24.0,0,2
331,0,1,0,1,0,0,28.5,45.5,1,0
332,0,1,0,1,0,1,153.4625,38.0,1,0
333,0,3,0,1,2,0,18.0,16.0,0,0
334,1,1,1,0,1,0,133.65,24.0,0,0
335,0,3,0,1,0,0,7.8958,52.0,0,0
336,0,1,0,1,1,0,66.6,29.0,1,0
337,1,1,2,0,0,0,134.5,41.0,1,1
338,1,3,0,1,0,0,8.05,45.0,0,0
339,0,1,0,1,0,0,35.5,45.0,1,0
340,1,2,4,1,1,1,26.0,2.0,1,0
341,1,1,2,0,3,2,263.0,24.0,1,0
342,0,2,0,1,0,0,13.0,28.0,0,0
343,0,2,0,1,0,0,13.0,25.0,0,0
344,0,2,0,1,0,0,13.0,36.0,0,0
345,1,2,2,0,0,0,13.0,24.0,1,0
346,1,2,2,0,0,0,13.0,40.0,0,0
347,1,3,1,0,1,0,16.1,71.0,0,0
348,1,3,4,1,1,1,15.9,3.0,0,0
349,0,3,0,1,0,0,8.6625,42.0,0,0
350,0,3,0,1,0,0,9.225,23.0,0,0
351,0,1,0,1,0,0,35.0,50.0,1,0
352,0,3,0,1,1,1,7.2292,15.0,0,1
353,0,3,0,1,1,0,17.8,25.0,0,0
354,0,3,0,1,0,0,7.225,37.0,0,1
355,0,3,0,1,0,0,9.5,28.0,0,0
356,1,1,2,0,0,1,55.0,22.0,1,0
357,0,2,2,0,0,0,13.0,38.0,0,0
358,1,3,2,0,0,0,7.8792,16.0,0,2
359,1,3,2,0,0,0,7.8792,42.0,0,2
360,0,3,0,1,1,4,27.9,40.0,0,0
361,0,2,0,1,1,0,27.7208,29.0,0,1
362,0,3,1,0,0,1,14.4542,45.0,0,1
363,0,3,0,1,0,0,7.05,35.0,0,0
364,0,3,0,1,1,0,15.5,61.0,0,2
365,0,3,0,1,0,0,7.25,30.0,0,0
366,1,1,1,0,1,0,75.25,60.0,1,1
367,1,3,1,0,0,0,7.2292,25.0,0,1
368,1,3,2,0,0,0,7.75,16.0,0,2
369,1,1,3,0,0,0,69.3,24.0,1,1
370,1,1,0,1,1,0,55.4417,25.0,1,1
371,0,3,0,1,1,0,6.4958,18.0,0,0
372,0,3,0,1,0,0,8.05,19.0,0,0
373,0,1,0,1,0,0,135.6333,22.0,0,1
374,0,3,2,0,3,1,21.075,3.0,0,0
375,1,1,1,0,1,0,82.1708,38.0,0,1
376,1,3,2,0,0,0,7.25,22.0,0,0
377,0,1,0,1,0,2,211.5,27.0,1,1
378,0,3,0,1,0,0,4.0125,20.0,0,1
379,0,3,0,1,0,0,7.775,19.0,0,0
380,1,1,2,0,0,0,227.525,42.0,0,1
381,1,3,2,0,0,2,15.7417,1.0,0,1
382,0,3,0,1,0,0,7.925,32.0,0,0
383,1,1,1,0,1,0,52.0,35.0,0,0
384,0,3,0,1,0,0,7.8958,37.0,0,0
385,0,2,0,1,0,0,73.5,18.0,0,0
386,0,3,4,1,5,2,46.9,1.0,0,0
387,1,2,2,0,0,0,13.0,36.0,0,0
388,0,3,0,1,0,0,7.7292,33.0,0,2
389,1,2,2,0,0,0,12.0,17.0,0,1
390,1,1,0,1,1,2,120.0,36.0,1,0
391,1,3,0,1,0,0,7.7958,21.0,0,0
392,0,3,0,1,2,0,7.925,28.0,0,0
393,1,1,2,0,1,0,113.275,23.0,1,1
394,1,3,1,0,0,2,16.7,24.0,1,0
395,0,3,0,1,0,0,7.7958,22.0,0,0
396,0,3,2,0,0,0,7.8542,31.0,0,0
397,0,2,0,1,0,0,26.0,46.0,0,0
398,0,2,3,1,0,0,10.5,23.0,0,0
399,1,2,1,0,0,0,12.65,28.0,0,0
400,1,3,0,1,0,0,7.925,39.0,0,0
401,0,3,0,1,0,0,8.05,26.0,0,0
402,0,3,2,0,1,0,9.825,21.0,0,0
403,0,3,0,1,1,0,15.85,28.0,0,0
404,0,3,2,0,0,0,8.6625,20.0,0,0
405,0,2,0,1,1,0,21.0,34.0,0,0
406,0,3,0,1,0,0,7.75,51.0,0,0
407,1,2,4,1,1,1,18.75,3.0,0,0
408,0,3,0,1,0,0,7.775,21.0,0,0
409,0,3,2,0,3,1,25.4667,11.0,0,0
410,0,3,0,1,0,0,7.8958,51.0,0,0
411,0,3,0,1,0,0,6.8583,42.0,0,2
412,1,1,2,0,1,0,90.0,33.0,1,2
413,0,2,0,1,0,0,0.0,64.0,0,0
414,1,3,0,1,0,0,7.925,44.0,0,0
415,0,3,1,0,0,0,8.05,62.0,0,0
416,1,2,1,0,1,1,32.5,34.0,0,0
417,1,2,2,0,0,2,13.0,18.0,0,0
418,0,2,0,1,0,0,13.0,30.0,0,0
419,0,3,2,0,0,2,24.15,10.0,0,0
420,0,3,0,1,0,0,7.8958,58.0,0,1
421,0,3,0,1,0,0,7.7333,21.0,0,2
422,0,3,0,1,0,0,7.875,29.0,0,0
423,0,3,1,0,1,1,14.4,28.0,0,0
424,0,3,0,1,1,1,20.2125,18.0,0,0
425,0,3,0,1,0,0,7.25,24.0,0,0
426,1,2,1,0,1,0,26.0,28.0,0,0
427,1,2,2,0,0,0,26.0,19.0,0,0
428,0,3,0,1,0,0,7.75,61.0,0,2
429,1,3,0,1,0,0,8.05,32.0,1,0
430,1,1,0,1,0,0,26.55,28.0,1,0
431,1,3,1,0,1,0,16.1,68.0,0,0
432,1,2,1,0,1,0,26.0,42.0,0,0
433,0,3,0,1,0,0,7.125,17.0,0,0
434,0,1,0,1,1,0,55.9,50.0,1,0
435,1,1,2,0,1,2,120.0,14.0,1,0
436,0,3,2,0,2,2,34.375,21.0,0,0
437,1,2,1,0,2,3,18.75,24.0,0,0
438,0,1,0,1,1,4,263.0,64.0,1,0
439,0,2,0,1,0,0,10.5,31.0,0,0
440,1,2,1,0,1,1,26.25,45.0,0,0
441,0,3,0,1,0,0,9.5,20.0,0,0
442,0,3,0,1,1,0,7.775,25.0,0,0
443,1,2,3,0,0,0,13.0,28.0,0,0
444,1,3,0,1,0,0,8.1125,49.0,0,0
445,1,1,4,1,0,2,81.8583,4.0,1,0
